Id,InvoiceNo,ItemId,ReqQty,Qty,AmtInPer,Rate,MId,Unit
2919,0013,2285,20.0,20.0,100.0,4150.0,975,16
2921,0014,2355,6.0,6.0,100.0,38500.0,977,16
2922,0015,2335,1.0,1.0,100.0,550000.0,978,16
2923,0016,2360,18.0,18.0,100.0,2800.0,979,3
2924,0016,2361,14.0,14.0,100.0,2250.0,979,1
2925,0017,2263,20.0,20.0,100.0,3800.0,980,16
2926,0017,2264,20.0,20.0,100.0,3400.0,980,16
2927,0017,2281,20.0,20.0,100.0,3980.0,980,16
2928,0018,2363,500.0,500.0,100.0,9.3,981,1
2929,0019,2354,1.0,1.0,100.0,254843.0,982,16
2937,0020,2359,2.0,2.0,100.0,56990.0,984,16
2938,0020,2365,1.0,1.0,100.0,106559.0,984,16
2939,0021,2366,1.0,1.0,100.0,130147.0,985,16
2940,0021,2367,1.0,1.0,100.0,135382.0,985,16
2942,0022,2369,1.0,1.0,100.0,133824.0,986,16
2943,0022,2370,1.0,1.0,100.0,126194.0,986,16
2944,0023,2368,1.0,1.0,100.0,153914.0,987,16
2945,0024,2373,12.0,12.0,100.0,2800.0,988,3
2946,0024,2374,6.0,6.0,100.0,2250.0,988,1
2947,0025,2279,20.0,20.0,100.0,4150.0,989,16
2948,0026,2358,1.0,1.0,100.0,250000.0,990,1
2952,0027,2371,1.0,1.0,100.0,314413.0,994,9
2953,0028,2372,1.0,1.0,100.0,26600.0,995,16
2954,0028,2376,2.0,2.0,100.0,31374.7,995,16
2955,0029,2375,1.0,1.0,100.0,150000.0,996,1
2956,0030,2356,3.0,3.0,100.0,1178000.0,997,1
2966,0031,2389,12.0,12.0,100.0,765.0,1000,16
2967,0031,2390,4.0,4.0,100.0,675.0,1000,16
2968,0031,2391,6.0,6.0,100.0,4950.0,1000,16
2969,0031,2392,4.0,4.0,100.0,2520.0,1000,16
2970,0031,2393,4.0,4.0,100.0,13600.0,1000,16
2971,0031,2394,3.0,3.0,100.0,17000.0,1000,16
2972,0031,2395,12.0,12.0,100.0,360.0,1000,16
2973,0031,2396,8.0,8.0,100.0,1125.0,1000,16
2974,0032,2400,12.0,12.0,100.0,11666.66,1001,16
2979,0033,2427,8.0,8.0,100.0,4131.0,1003,16
2980,0033,2428,8.0,8.0,100.0,3792.0,1003,16
2981,0033,2429,8.0,8.0,100.0,13837.0,1003,16
2982,0034,2430,1.0,1.0,100.0,477856.0,1004,16
2983,0035,2194,1.0,1.0,100.0,350000.0,1005,1
2985,0036,2436,6.0,6.0,100.0,3400.0,1007,16
2986,0037,2401,4.0,4.0,100.0,13750.0,1008,16
2993,0038,2422,1.0,1.0,100.0,12000.0,1011,16
2994,0038,2423,2.0,2.0,100.0,400.0,1011,16
2995,0038,2424,2.0,2.0,100.0,400.0,1011,16
2996,0038,2425,1.0,1.0,100.0,11000.0,1011,16
2997,0038,2426,1.0,1.0,100.0,350000.0,1011,16
2998,0039,2416,10.0,10.0,100.0,3000.0,1012,16
2999,0040,2413,1.0,1.0,100.0,225000.0,1013,16
3025,0041,2438,16.0,16.0,100.0,3400.0,1017,3
3026,0041,2439,12.0,12.0,100.0,4950.0,1017,16
3027,0041,2440,6.0,6.0,100.0,10800.0,1017,16
3028,0041,2441,5.0,5.0,100.0,2520.0,1017,16
3029,0041,2442,5.0,5.0,100.0,675.0,1017,16
3030,0041,2443,40.0,40.0,100.0,765.0,1017,16
3031,0041,2444,20.0,20.0,100.0,360.0,1017,16
3032,0041,2445,50.0,50.0,100.0,540.0,1017,16
3033,0041,2446,72.0,72.0,100.0,1700.0,1017,3
3038,0042,2454,4.0,6.0,100.0,1150.0,1021,16
3039,0043,2437,8.0,8.0,100.0,1350.0,1022,16
3042,0044,2379,1.0,1.0,100.0,1250000.0,1024,16
3044,0045,2386,1.0,1.0,100.0,1040000.0,1025,16
3047,0046,2431,1.0,1.0,100.0,330000.0,1028,16
3048,0047,2378,1.0,1.0,100.0,1080000.0,1029,16
