Id,PRNo,PId,CId,Qty,SupplierId,Rate,Discount,AHId,DelDate,Remarks,Type,ItemId,MId
39050,0150,,,680.0,B011,60.0,0.0,28,2019-11-08,,,71885,8096
39051,0150,,,1.0,B011,3525.0,0.0,28,2019-11-08,,,71851,8096
39052,0150,,,2.0,B011,1100.0,0.0,28,2019-11-08,,,71846,8096
39053,0150,,,2.0,B011,650.0,0.0,28,2019-11-08,,,71215,8096
39054,0150,,,1.0,B011,1850.0,0.0,28,2019-11-08,,,71216,8096
39055,0150,,,2.0,B011,7580.0,0.0,28,2019-11-08,,,71850,8096
39056,0150,,,9.0,B011,650.0,0.0,28,2019-11-08,,,71845,8096
39057,0150,,,61.0,B011,675.0,0.0,28,2019-11-08,,,71844,8096
39058,0150,,,70.0,B011,1450.0,0.0,28,2019-11-08,,,71884,8096
39059,0150,,,2.0,B011,170.0,15.0,28,2019-11-08,,,58439,8096
39062,0152,,,4.0,S241,150.0,0.0,28,2019-11-19,,,71913,8098
39063,0152,,,2.0,S241,750.0,0.0,28,2019-11-19,,,71912,8098
39064,0152,,,4.0,S241,260.0,0.0,28,2019-11-19,,,71907,8098
39065,0152,,,4.0,S241,335.0,0.0,28,2019-11-19,,,71908,8098
39066,0152,,,2.0,S241,260.0,0.0,28,2019-11-19,,,71875,8098
39067,0152,,,4.0,S241,260.0,0.0,28,2019-11-19,,,71823,8098
39068,0153,,,2.0,S241,300.0,0.0,28,2019-11-19,,,71741,8099
39069,0153,,,2.0,S241,300.0,0.0,28,2019-11-19,,,71762,8099
39070,0154,,,12.0,B041,16.6,0.0,28,2019-11-22,,,71376,8100
39071,0154,,,24.0,S047 ,16.6,0.0,28,2019-11-08,,,71377,8100
39072,0155,,,8.0,S154,387.5,0.0,28,2019-11-20,,,72044,8101
39073,0156,,,1.0,A063,355.0,0.0,42,2019-11-23,,,72045,8102
39074,0156,,,8.0,A063,235.0,0.0,42,2019-11-23,,,72046,8102
39075,0156,,,1.0,A063,355.0,0.0,42,2019-11-23,,,72047,8102
39076,0157,,,4.0,B041,6.0,0.0,28,2019-11-22,,,71383,8103
39077,0157,,,2.0,B041,6.0,0.0,28,2019-11-22,,,71382,8103
39078,0158,,,130.0,K008,230.0,0.0,42,2019-11-23,,,72048,8104
39079,0159,,,5.0,K008,410.0,0.0,28,2019-11-23,,,71983,8105
39080,0160,,,4.0,S241,750.0,0.0,28,2019-11-20,,,71542,8106
39081,0160,,,10.0,S241,50.0,0.0,28,2019-11-20,,,71992,8106
39082,0160,,,4.0,S241,150.0,0.0,28,2019-11-20,,,71869,8106
39083,0161,,,220.0,B040,34.0,0.0,28,2019-11-08,,,11131,8107
39084,0162,,,6.0,S241,900.0,0.0,28,2019-11-23,,,71916,8108
39085,0162,,,2.0,S241,300.0,0.0,28,2019-11-23,,,71900,8108
