Id,SysDate,SysTime,CompId,FinYearId,SessionId,ItemId,LockUnlock,Type,LockedbyTranaction,LockDate,LockTime
16552,2022-02-22,10:27:10 AM,1,9,sapl0350,5595,0,2,1176,2023-02-09,4:13:18 PM
16553,2022-02-22,10:28:57 AM,1,9,sapl0350,5593,0,2,SAPL0324,2022-09-28,2:03:17 PM
16554,2022-02-22,10:54:41 AM,1,9,sapl0350,58879,0,2,Sapl0002,2023-02-10,6:14:21 PM
16555,2022-02-22,10:55:51 AM,1,9,sapl0350,5536,0,2,sapl0290,2022-03-22,4:48:29 PM
16556,2022-02-22,10:57:29 AM,1,9,sapl0350,5800,0,2,sapl0290,2022-03-22,4:48:29 PM
16557,2022-02-22,11:01:33 AM,1,9,sapl0350,5659,0,2,Sapl0324,2022-11-24,3:59:55 PM
16558,2022-02-22,11:03:02 AM,1,9,sapl0350,5591,0,2,0388,2022-07-29,2:08:43 PM
16559,2022-02-22,11:11:11 AM,1,9,sapl0350,11856,0,2,Sapl0002,2023-02-10,6:14:21 PM
16560,2022-02-22,11:27:50 AM,1,9,sapl0350,84263,0,2,SAPL0324,2022-08-04,11:49:25 AM
16561,2022-02-22,11:30:17 AM,1,9,sapl0350,53179,0,2,sapl0290,2022-03-22,4:48:29 PM
16562,2022-02-22,11:33:04 AM,1,9,sapl0350,84042,0,2,sapl0290,2022-03-22,4:48:29 PM
16563,2022-02-22,11:34:22 AM,1,9,sapl0350,56049,0,2,sapl0290,2022-03-22,4:48:29 PM
16564,2022-02-22,11:51:21 AM,1,9,sapl0350,84422,0,2,sapl0324,2022-08-02,4:45:40 PM
16565,2022-02-22,11:52:42 AM,1,9,sapl0350,82310,0,2,Sapl0002,2023-02-10,6:14:21 PM
16566,2022-02-22,11:54:04 AM,1,9,sapl0350,83877,0,2,SAPL0001,2022-03-31,12:16:36 PM
16567,2022-02-22,11:56:28 AM,1,9,sapl0350,5659,0,2,Sapl0324,2022-11-24,3:59:55 PM
16568,2022-02-22,11:59:50 AM,1,9,sapl0350,6379,0,2,0979,2022-12-15,1:31:48 PM
16569,2022-02-22,12:01:39 PM,1,9,sapl0350,7188,0,2,1435,2023-03-02,3:47:14 PM
16570,2022-02-22,12:11:55 PM,1,9,sapl0350,83877,0,2,SAPL0001,2022-03-31,12:16:36 PM
16571,2022-02-22,1:44:33 PM,1,9,sapl0350,6575,0,2,SAPL0001,2022-03-31,12:16:36 PM
16572,2022-02-22,2:02:36 PM,1,9,sapl0350,6574,0,2,SAPL0324,2022-09-28,2:03:17 PM
16573,2022-02-22,2:05:44 PM,1,9,sapl0350,6573,0,2,Sapl0324,2022-11-03,3:20:15 PM
16574,2022-02-22,2:06:48 PM,1,9,sapl0350,5722,0,2,Sapl0324,2022-08-24,11:04:42 AM
16575,2022-02-22,2:08:47 PM,1,9,sapl0350,85188,0,2,0906,2022-11-16,2:07:15 PM
16576,2022-02-22,2:11:27 PM,1,9,sapl0350,6379,0,2,0979,2022-12-15,1:31:48 PM
16577,2022-02-22,2:13:21 PM,1,9,sapl0350,81714,0,2,sapl0290,2022-03-22,4:48:29 PM
16578,2022-02-22,2:15:14 PM,1,9,sapl0350,8108,0,2,sapl0290,2022-03-22,4:48:29 PM
16579,2022-02-24,8:21:33 AM,1,9,sapl0350,81163,0,2,Sapl0324,2022-03-06,5:02:55 PM
16580,2022-02-25,10:57:11 AM,1,9,sapl0350,83905,0,2,SAPL0324,2022-07-14,10:56:36 AM
16581,2022-02-25,11:17:41 AM,1,9,sapl0350,83905,0,2,SAPL0324,2022-07-14,10:56:36 AM
16582,2022-02-25,1:02:17 PM,1,9,sapl0350                                         ,83905,0,2,SAPL0324,2022-07-14,10:56:36 AM
16583,2022-02-26,11:08:59 AM,1,9,sapl0350,12376,0,2,sapl0290,2022-03-14,5:05:19 PM
16584,2022-02-26,11:19:33 AM,1,9,sapl0350,40447,0,2,sapl0290,2022-03-14,5:05:19 PM
16585,2022-02-27,9:12:19 AM,1,9,sapl0350,24403,0,2,0952,2022-12-05,7:01:30 PM
16586,2022-02-27,3:13:29 PM,1,9,sapl0350,83677,0,2,Sapl0324,2022-03-06,5:02:55 PM
16587,2022-02-27,3:17:02 PM,1,9,sapl0350,5646,0,2,Sapl0324,2022-11-03,3:20:15 PM
16588,2022-02-27,3:18:58 PM,1,9,sapl0350,5647,0,2,Sapl0324,2022-11-03,3:20:15 PM
