Id,MId,CompId,SessionId,FinYearId,FileName,FileSize,ContentType,FileData
161,2754,1,sapl0173,2,HARDTECH HARDWARE INV 36 DTD 07.04.2014.jpg,1925309.0,image/jpeg,
162,2753,1,sapl0173,2,HARDTECH HARDWARE INV 98 DTD 18.04.2014.jpg,1965298.0,image/jpeg,
163,2734,1,sapl0173,2,SHIV INDUSTRIES 08-46 DTD 25.04.2014.jpg,1032930.0,image/jpeg,
164,2733,1,sapl0173,2,SHREEPAD INDUSTRIAL SOURCING CO INV 672 DTD 25.04.2014.jpg,1156753.0,image/jpeg,
166,2732,1,sapl0173,2,FLIGHT INDIA INCORPORATED INV 249 DTD 28.03.2014.jpg,525384.0,image/jpeg,
167,2731,1,sapl0173,2,FLIGHT INDIA INCORPORATED INV 250 DTD 29.03.2014.jpg,524563.0,image/jpeg,
168,2730,1,sapl0173,2,HARSHAL INDUSTRIES INV 133DTD 26.04.2014.jpg,922120.0,image/jpeg,
169,2728,1,sapl0173,2,SAI SNEH HOSPITAL INV 28-4897-02-14 DTD 03.04.2014.jpg,663384.0,image/jpeg,
170,2727,1,sapl0173,2,SAIRAJ ENTERPRISES INV A-195 DTD 27.04.2014.jpg,1116786.0,image/jpeg,
171,2726,1,sapl0173,2,WADILAL NAROTTAMDAS & SONS C-31968 DTD 09.04.2014.jpg,1029325.0,image/jpeg,
172,2725,1,sapl0173,2,R V SALES & SERVICES INV 10 DTD 07.04.2014.jpg,1106256.0,image/jpeg,
173,2724,1,sapl0173,2,HARSHAL INDUSTRIES INV 0052 DTD 09.04.2014.jpg,770815.0,image/jpeg,
174,2816,1,sapl0173,2,PRASANNA TRANSPORT NETWORK PVT LTD INV 1477721 DTD 29.04.2014.jpg,1696517.0,image/jpeg,
175,2818,1,sapl0173,2,TRITECH INV 181 DTD 12.05.2014.jpg,886814.0,image/jpeg,
176,2819,1,sapl0173,2,HARSHAL INDUSTRIES INV 221 DTD 11.05.2014.jpg,950738.0,image/jpeg,
177,2820,1,sapl0173,2,IGUS INDIA PVT LTD INV 96782 DTD 07.05.2014.jpg,1304578.0,image/jpeg,
178,2821,1,sapl0173,2,SAIRAJ ENT INV A-199 DTD 07.05.2014.jpg,940268.0,image/jpeg,
179,2823,1,sapl0173,2,SHIV SAI ENGG INV 144 DTD 03.05.2014.jpg,1409646.0,image/jpeg,
182,2824,1,sapl0173,2,CUBIX AUTOMATION PVT LTD INV 631 DTD 12.05.2014 PAGE 01 OF 02.jpg,1410530.0,image/jpeg,
183,2824,1,sapl0173,2,CUBIX AUTOMATION PVT LTD INV 631 DTD 12.05.2014 PAGE 02 OF 02.jpg,960824.0,image/jpeg,
184,2825,1,sapl0173,2,ENDO KOGYO INDIA PVT LTD. INV 45 DTD 13.05.2014.jpg,1400318.0,image/jpeg,
185,2826,1,sapl0173,2,ENDO KOGYO INDIA PVT LTD INV 44 DTD 13.05.2014.jpg,1365840.0,image/jpeg,
186,2827,1,sapl0173,2,VIKAS ENTERPRISES INV P00322 DTD 09.05.2014.jpg,1204158.0,image/jpeg,
188,2829,1,sapl0173,2,SMC PNEUMATICS INDIA PVT LTD INV 3978 DTD 07.05.2014.jpg,1041612.0,image/jpeg,
189,2830,1,sapl0173,2,ARJUN ENTERPRISES INV 4802 DTD 13.05.2014.jpg,896639.0,image/jpeg,
190,2831,1,sapl0173,2,PIONEER COATS INV 532 DTD 16.05.2014.jpg,1140253.0,image/jpeg,
191,2832,1,sapl0173,2,INDUSTRIAL TRADING COMPANY INV M 107 DTD 15.05.2014.jpg,1255229.0,image/jpeg,
192,2833,1,sapl0173,2,SHIV SAI ENGG INV 145 DTD 06.04.2014.jpg,1328531.0,image/jpeg,
193,2834,1,sapl0173,2,SHIV SAI ENGG INV 145 DTD 06.04.2014.jpg,1328531.0,image/jpeg,
194,2835,1,sapl0173,2,SAI ENTERPRISES INV 35 DTD 13.05.2014.jpg,872500.0,image/jpeg,
195,2836,1,sapl0173,2,TCI XPS INV 29210138 DTD 07.05.2014.jpg,522931.0,image/jpeg,
196,2837,1,sapl0173,2,VIKAS ENGINEERING WORKS INV 106 DTD 06.05.2014.jpg,889418.0,image/jpeg,
197,2838,1,sapl0173,2,GLOBE ELECTRIC & TRADING CO INV47407 DTD 06.05.2014.jpg,1156348.0,image/jpeg,
198,2855,1,sapl0173,2,BINEX CONTROLS INV 82 DTD 05.05.2014.jpg,934248.0,image/jpeg,
199,2854,1,sapl0173,2,INFOWORLD TECH PVT LTD INV 1400018WH DTD 11.04.2014.jpg,1093978.0,image/jpeg,
200,2853,1,sapl0173,2,SAHARA TRANSFORMERS INV 058 DTD 14.05.2014.jpg,1353287.0,image/jpeg,
201,2852,1,sapl0173,2,INDUSTRIAL TRADING COMPANY INV C 439 DTD 15.05.2014.jpg,768810.0,image/jpeg,
202,2851,1,sapl0173,2,SMC PNEUMATICS INDIA PVT LTD INV 90391 DTD  08.05.2014.jpg,1503784.0,image/jpeg,
203,2850,1,sapl0173,2,PRASANNA TRANSPORT NETWORK PVT LTD INV 1485504 DTD 07.05.2014.jpg,1977394.0,image/jpeg,
204,2849,1,sapl0173,2,PRASANNA TRANSPORT NETWORK PVT LTD INV 1417254 DTD 05.05.2014.jpg,1676380.0,image/jpeg,
205,2848,1,sapl0173,2,PIONEER COATS INV 568 DTD 19.05.2014.jpg,1189867.0,image/jpeg,
206,2847,1,sapl0173,2,CANON INDIA PVT LTD INV 14029022527 DTD 01.04.2014.jpg,1251637.0,image/jpeg,
207,2846,1,sapl0173,2,CANON INDIA PVT LTD INV 14029001357 DTD 01.04.2014.jpg,1105929.0,image/jpeg,
208,2845,1,sapl0173,2,JAI MALLHAR CRANE SERVICE INV 10 DTD 02.05.2014.jpg,1192808.0,image/jpeg,
209,2844,1,sapl0173,2,TRI TECH INV 218 DTD 19.05.2014.jpg,806204.0,image/jpeg,
210,2843,1,sapl0173,2,INDUSTRIAL TRADING COMPANY INV C 103 DTD 12.04.2014.jpg,775764.0,image/jpeg,
211,2842,1,sapl0173,2,SHUBHAM CRANE SERVICE INV 104 DTD 03.05.2014.jpg,571660.0,image/jpeg,
212,2841,1,sapl0173,2,PROFESSIONAL COURIERS INV 013 DTD 30.04.2014.jpg,921502.0,image/jpeg,
213,2840,1,sapl0173,2,PROTON SOLUTIONS INV 5011 DTD 15.05.2014.jpg,1094924.0,image/jpeg,
