Id,GINNo,GINId,POId,Qty,ReceivedQty,ACategoyId,ASubCategoyId
47435,1219,14437,54549,4.0,4.0,0,0
47436,1219,14437,54551,4.0,4.0,0,0
47437,1219,14437,54555,2.0,2.0,0,0
47438,1219,14437,54556,2.0,2.0,0,0
47439,1219,14437,54557,1.0,1.0,0,0
47440,1219,14437,54558,1.0,1.0,0,0
47441,1219,14437,54565,1.0,1.0,0,0
47442,1219,14437,54566,1.0,1.0,0,0
47443,1219,14437,54573,2.0,2.0,0,0
47444,1220,14438,54588,1.0,1.0,0,0
47445,1220,14438,54589,1.0,1.0,0,0
47446,1220,14438,54590,1.0,1.0,0,0
47447,1220,14438,54596,2.0,2.0,0,0
47448,1220,14438,54600,1.0,1.0,0,0
47449,1220,14438,54601,1.0,1.0,0,0
47450,1221,14439,54605,3.0,3.0,0,0
47451,1221,14439,54608,1.0,1.0,0,0
47452,1221,14439,54609,1.0,1.0,0,0
47453,1221,14439,54610,1.0,1.0,0,0
47454,1221,14439,54611,1.0,1.0,0,0
47455,1221,14439,54612,1.0,1.0,0,0
47456,1221,14439,54613,1.0,1.0,0,0
47457,1221,14439,54614,2.0,2.0,0,0
47458,1221,14439,54616,1.0,1.0,0,0
47459,1221,14439,54617,1.0,1.0,0,0
47460,1221,14439,54618,1.0,1.0,0,0
47461,1221,14439,54619,1.0,1.0,0,0
47462,1221,14439,54620,4.0,4.0,0,0
47463,1221,14439,54621,1.0,1.0,0,0
47464,1221,14439,54622,1.0,1.0,0,0
47465,1221,14439,54623,2.0,2.0,0,0
47466,1221,14439,54624,2.0,2.0,0,0
47467,1221,14439,54625,2.0,2.0,0,0
47468,1222,14440,54719,1.0,1.0,0,0
47469,1222,14440,54720,1.0,1.0,0,0
47470,1222,14440,54721,1.0,1.0,0,0
47471,1222,14440,54722,1.0,1.0,0,0
47472,1222,14440,54723,1.0,1.0,0,0
47473,1222,14440,54724,2.0,2.0,0,0
47474,1222,14440,54725,1.0,1.0,0,0
47475,1222,14440,54726,1.0,1.0,0,0
47476,1223,14441,54729,2.0,2.0,0,0
47477,1223,14441,54730,2.0,2.0,0,0
47478,1223,14441,54731,2.0,2.0,0,0
47479,1224,14442,54796,1.0,1.0,0,0
47480,1224,14442,54797,6.0,6.0,0,0
47481,1224,14442,54798,2.0,2.0,0,0
47482,1224,14442,54800,2.0,2.0,0,0
47483,1224,14442,54802,60.0,60.0,0,0
47484,1224,14442,54803,2.0,2.0,0,0
47485,1224,14442,54804,30.0,30.0,0,0
47486,1224,14442,54805,30.0,30.0,0,0
47487,1224,14442,54808,15.0,15.0,0,0
47488,1224,14442,54810,1.0,1.0,0,0
47489,1224,14442,54811,8.0,8.0,0,0
47490,1224,14442,54815,1.0,1.0,0,0
47491,1225,14443,54845,2.0,2.0,0,0
47492,1225,14443,54848,6.0,6.0,0,0
47493,1225,14443,54849,2.0,2.0,0,0
47494,1225,14443,54850,2.0,2.0,0,0
47495,1225,14443,54851,2.0,2.0,0,0
47496,1225,14443,54852,2.0,2.0,0,0
47497,1225,14443,54853,4.0,4.0,0,0
47498,1225,14443,54854,2.0,2.0,0,0
47499,1226,14444,54864,1.0,1.0,0,0
47500,1226,14444,54865,1.0,1.0,0,0
47501,1226,14444,54866,2.0,2.0,0,0
47502,1226,14444,54867,5.0,5.0,0,0
47503,1226,14444,54869,8.0,8.0,0,0
47504,1227,14445,54887,2.0,2.0,0,0
47505,1227,14445,54888,2.0,2.0,0,0
47506,1227,14445,54893,2.0,2.0,0,0
47507,1227,14445,54894,2.0,2.0,0,0
47508,1228,14446,54899,1.0,1.0,0,0
47509,1228,14446,54900,1.0,1.0,0,0
47510,1228,14446,54901,2.0,2.0,0,0
47511,1228,14446,54902,2.0,2.0,0,0
47512,1228,14446,54903,2.0,2.0,0,0
47513,1228,14446,54904,2.0,2.0,0,0
47514,1228,14446,54905,2.0,2.0,0,0
47515,1228,14446,54906,2.0,2.0,0,0
47516,1228,14446,54907,2.0,2.0,0,0
47517,1228,14446,54908,2.0,2.0,0,0
47518,1228,14446,54909,2.0,2.0,0,0
47519,1228,14446,54910,2.0,2.0,0,0
47520,1228,14446,54911,2.0,2.0,0,0
47521,1228,14446,54912,2.0,2.0,0,0
