Id,PODId,GQNId,GSNId,ItemId,DebitType,DebitValue,PFAmt,ExStBasicInPer,ExStEducessInPer,ExStShecessInPer,ExStBasic,ExStEducess,ExStShecess,CustomDuty,VAT,CST,Freight,TarrifNo,BCDOpt,BCD,BCDValue,ValueForCVD,ValueForEdCessCD,EdCessOnCDOpt,EdCessOnCD,EdCessOnCDValue,SHEDCessOpt,SHEDCess,SHEDCessValue,TotDuty,TotDutyEDSHED,Insurance,ValueWithDuty,MId
32459,43344,32641,0,59354,0,0.0,0.0,9.0,0.0,0.0,327.87,0.0,0.0,0.0,357.38,0.0,0.0,8466,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8079
32460,43324,32637,0,59241,0,0.0,0.0,9.0,0.0,0.0,110.34,0.0,0.0,0.0,119.37,0.0,10.0,7215,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8080
32461,43323,32636,0,12010,0,0.0,0.0,9.0,0.0,0.0,144.0,0.0,0.0,0.0,156.96,0.0,0.0,84821090,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8081
32462,43339,32635,0,58439,0,0.0,0.0,14.0,0.0,0.0,238.0,0.0,0.0,0.0,271.32,0.0,0.0,8483,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8082
32463,43407,32633,0,10906,0,0.0,0.0,9.0,0.0,0.0,44.64,0.0,0.0,0.0,48.66,0.0,0.0,7318,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8083
32464,43408,32634,0,11185,0,0.0,0.0,9.0,0.0,0.0,20.25,0.0,0.0,0.0,22.07,0.0,0.0,8483,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8083
32467,43464,0,3979,60053,0,0.0,0.0,9.0,0.0,0.0,3559.5,0.0,0.0,0.0,3879.86,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8085
32468,43465,0,3980,60059,0,0.0,0.0,9.0,0.0,0.0,270.0,0.0,0.0,0.0,294.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8085
32469,43397,32627,0,10470,0,0.0,0.0,9.0,0.0,0.0,189.0,0.0,0.0,0.0,206.01,0.0,0.0,8467,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8086
32470,43398,32628,0,10470,0,0.0,0.0,9.0,0.0,0.0,255.15,0.0,0.0,0.0,278.11,0.0,0.0,8467,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8087
32474,43466,32621,0,60021,0,0.0,0.0,9.0,0.0,0.0,301.27,0.0,0.0,0.0,328.38,0.0,0.0,8471,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8089
32475,43467,32622,0,60022,0,0.0,0.0,9.0,0.0,0.0,148.73,0.0,0.0,0.0,162.12,0.0,0.0,8471,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8089
32476,43124,32426,0,59309,0,0.0,0.0,9.0,0.0,0.0,2358.72,0.0,0.0,0.0,2571.0,0.0,0.0,8501,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8090
32477,43340,0,3977,60017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8091
32478,43322,32629,0,60016,0,0.0,0.0,9.0,0.0,0.0,626.4,0.0,0.0,0.0,682.78,0.0,0.0,998898,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8092
32479,43322,32630,0,60016,0,0.0,0.0,9.0,0.0,0.0,208.8,0.0,0.0,0.0,227.59,0.0,0.0,998898,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8092
32480,43322,32631,0,60016,0,0.0,0.0,9.0,0.0,0.0,417.6,0.0,0.0,0.0,455.18,0.0,0.0,998898,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8092
32481,43185,32397,0,59817,0,0.0,0.0,9.0,0.0,0.0,57.6,0.0,0.0,0.0,62.78,0.0,0.0,84879000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8093
