Id,CompId,FinYearId,WONo,ReleaseSysDate,ReleaseSysTime,ReleaseBy
295,1,5,N0163,2017-11-27,3:36:06 PM,Sapl0001
296,1,5,N0175,2017-12-09,10:53:37 AM,Sapl0005
297,1,5,N0176,2017-12-09,10:56:01 AM,Sapl0005
298,1,5,N0177,2017-12-09,10:56:04 AM,Sapl0005
299,1,5,T0028,2017-12-23,11:53:24 AM,sapl0005
300,1,5,T0027,2017-12-23,11:53:34 AM,sapl0005
301,1,5,J0099,2017-12-26,2:49:32 PM,Sapl0005
302,1,5,N0178,2018-02-01,10:20:13 AM,Sapl0005
303,1,5,N0179,2018-02-01,10:20:25 AM,Sapl0005
304,1,5,N0180,2018-02-01,10:20:31 AM,Sapl0005
305,1,5,E0001,2018-02-20,9:02:21 AM,Sapl0269
306,1,5,J0101,2018-03-01,2:22:29 PM,Sapl0005
307,1,5,J0102,2018-03-01,2:22:33 PM,Sapl0005
308,1,5,J0103,2018-03-01,2:22:36 PM,Sapl0005
309,1,5,J0104,2018-03-01,2:22:40 PM,Sapl0005
310,1,5,J0105,2018-03-01,2:22:53 PM,Sapl0005
311,1,5,N0179,2018-03-31,2:57:11 PM,Sapl0243
312,1,6,T0031,2018-05-08,2:02:37 PM,Sapl0005
313,1,6,N0181,2018-05-17,11:00:00 AM,Sapl0005
314,1,6,N0182,2018-05-17,11:00:03 AM,Sapl0005
315,1,6,N0183,2018-06-25,5:06:53 PM,Sapl0005
316,1,6,T0032,2018-08-20,2:00:52 PM,sapl0005
317,1,6,N0184,2018-09-10,8:42:16 AM,Sapl0005
318,1,6,N0185,2018-09-10,8:42:20 AM,Sapl0005
319,1,6,P0052,2018-09-10,8:42:42 AM,Sapl0005
320,1,6,J0109,2018-09-10,8:44:49 AM,Sapl0005
321,1,6,J0109,2018-10-27,11:19:43 AM,Sapl0002
322,1,6,N0186,2018-12-07,2:11:19 PM,sapl0005
323,1,6,N0187,2018-12-07,2:22:59 PM,sapl0005
324,1,6,N0187,2018-12-07,4:17:22 PM,sapl0005
325,1,6,N0189,2018-12-24,3:51:48 PM,Sapl0002
326,1,6,N0188,2018-12-24,3:53:43 PM,Sapl0002
327,1,6,J0109,2019-01-02,9:42:39 AM,Sapl0003
328,1,6,N0190,2019-01-15,11:48:20 AM,sapl0005
329,1,6,N0191,2019-01-15,12:12:32 PM,sapl0005
330,1,6,N0192,2019-01-15,12:12:36 PM,sapl0005
331,1,6,N0184,2019-03-04,6:19:31 PM,Sapl0001
332,1,6,J0112,2019-03-28,10:54:14 AM,Sapl0003
333,1,6,J0112,2019-03-29,3:27:06 PM,Sapl0013
334,1,7,N0199,2019-05-06,11:07:55 AM,Sapl0003
335,1,7,J0115,2019-06-15,2:49:28 PM,sapl0313
336,1,7,J0116,2019-06-15,3:01:10 PM,sapl0313
337,1,7,J0117,2019-06-29,9:41:40 AM,sapl0313
338,1,7,N0200,2019-07-19,11:14:27 AM,sapl0313
339,1,7,N0202,2019-07-24,2:43:30 PM,sapl0013
340,1,7,J0118,2019-08-01,3:33:21 PM,sapl0307
341,1,7,J0118,2019-09-03,10:42:12 AM,Sapl0003
342,1,7,J0119,2019-09-03,10:42:15 AM,Sapl0003
343,1,7,J0120,2019-09-03,10:42:17 AM,Sapl0003
344,1,7,S0183,2019-09-30,11:08:52 AM,Sapl0013
345,1,7,N0204,2019-11-15,9:15:25 AM,sapl0313
346,1,7,N0205,2019-11-15,9:15:46 AM,sapl0313
347,1,7,N0206,2019-11-15,9:15:58 AM,sapl0313
348,1,7,N0207,2019-11-15,9:16:04 AM,sapl0313
349,1,7,N0208,2019-11-15,9:16:09 AM,sapl0313
350,1,7,N0209,2019-11-15,9:16:15 AM,sapl0313
351,1,7,N0210,2019-11-15,9:16:24 AM,sapl0313
352,1,7,N0196,2019-11-15,9:17:04 AM,sapl0313
353,1,7,N0210,2019-11-20,11:53:34 AM,sapl0251
354,1,7,N0212,2019-11-26,5:48:03 PM,sapl0313
355,1,7,N0211,2019-11-26,5:49:29 PM,sapl0313
356,1,7,J0113,2019-11-26,5:49:51 PM,sapl0313
357,1,7,J0114,2019-11-26,5:49:54 PM,sapl0313
358,1,7,N0195,2019-11-26,5:50:30 PM,sapl0313
359,1,7,E0041,2019-11-26,5:50:50 PM,sapl0313
360,1,7,S0181,2019-11-26,5:52:20 PM,sapl0313
361,1,7,S0182,2019-11-26,5:52:29 PM,sapl0313
362,1,7,P0058,2019-11-27,11:33:59 AM,sapl0313
363,1,7,J0121,2019-12-02,2:44:30 PM,sapl0313
364,1,7,S0184,2019-12-04,10:16:55 AM,sapl0313
365,1,7,N0213,2019-12-06,6:44:02 PM,sapl0313
366,1,7,N0214,2019-12-23,6:32:26 PM,sapl0313
367,1,7,S0185,2019-12-23,6:32:43 PM,sapl0313
368,1,7,N0215,2019-12-29,6:22:51 PM,sapl0313
369,1,7,N0216,2020-01-03,11:30:17 AM,sapl0313
370,1,7,N0217,2020-01-08,11:02:21 AM,sapl0313
371,1,7,J0122,2020-01-17,12:28:09 PM,sapl0313
372,1,7,J0123,2020-02-01,6:05:01 PM,sapl0313
373,1,7,S0186,2020-02-17,8:31:44 PM,sapl0313
374,1,7,N0218,2020-03-01,7:41:51 PM,Sapl0313
375,1,7,N0219,2020-03-03,4:04:12 PM,sapl0313
376,1,7,N0220,2020-03-08,3:04:09 PM,Sapl0313
377,1,7,N0221,2020-03-08,4:01:40 PM,Sapl0313
378,1,7,J0124,2020-03-13,4:32:30 PM,Sapl0313
379,1,7,N0222,2020-03-15,11:51:01 AM,Sapl0002
380,1,7,N0223,2020-03-16,10:53:55 AM,Sapl0313
381,1,7,N0224,2020-03-16,10:54:01 AM,Sapl0313
382,1,7,N0225,2020-03-16,12:39:54 PM,Sapl0313
383,1,7,N0225,2020-06-15,5:07:01 PM,Sapl0002
384,1,7,N0225,2020-06-15,5:12:54 PM,sapl0312
385,1,7,J0123,2020-06-21,3:30:17 PM,sapl0313
386,1,7,J0122,2020-06-21,3:30:19 PM,sapl0313
387,1,7,J0119,2020-06-21,3:30:23 PM,sapl0313
388,1,8,N0226,2020-09-22,11:31:16 AM,sapl0313
389,1,8,N0227,2020-09-22,11:31:32 AM,sapl0313
390,1,8,N0228,2020-09-22,11:31:42 AM,sapl0313
391,1,8,N0229,2020-09-22,11:31:52 AM,sapl0313
392,1,8,J0125,2020-09-22,1:23:55 PM,sapl0313
393,1,8,N0197,2020-09-22,1:24:28 PM,sapl0313
394,1,8,N0198,2020-09-22,1:24:42 PM,sapl0313
395,1,8,N0201,2020-09-22,1:24:53 PM,sapl0313
