Id,SysDate,SysTime,CompId,FinYearId,SessionId,EmpId,BillMonth,BillAmt,Taxes
188,2013-12-04,10:21:54 AM,1,1,Sapl0173,Sapl0041,11.0,241.51,6.0
189,2013-12-04,10:23:40 AM,1,1,Sapl0173,Sapl0037,11.0,312.59,6.0
190,2013-12-04,7:16:27 PM,1,1,Sapl0173,Sapl0041,8.0,211.0,6.0
191,2013-12-30,4:55:12 PM,1,1,Sapl0186,Sapl0061,12.0,428.32,6.0
192,2013-12-30,5:47:53 PM,1,1,Sapl0186,Sapl0057,12.0,485.06,6.0
193,2013-12-30,5:50:46 PM,1,1,Sapl0186,Sapl0048,12.0,240.0,6.0
194,2013-12-30,6:11:06 PM,1,1,Sapl0186,Sapl0071,12.0,247.31,6.0
195,2014-01-02,10:28:31 AM,1,1,Sapl0186,Sapl0003,12.0,1001.58,6.0
196,2014-01-02,10:30:53 AM,1,1,Sapl0186,Sapl0002,12.0,250.45,6.0
197,2014-01-02,10:53:46 AM,1,1,Sapl0186,Sapl0047,12.0,184.55,6.0
198,2014-01-03,9:17:45 AM,1,1,Sapl0186,Sapl0055,12.0,655.76,6.0
199,2014-01-03,9:22:06 AM,1,1,Sapl0186,Sapl0050,12.0,140.45,6.0
200,2014-01-03,9:23:25 AM,1,1,Sapl0186,Sapl0020,12.0,502.81,6.0
201,2014-01-03,9:25:49 AM,1,1,Sapl0186,Sapl0011,12.0,777.76,6.0
202,2014-01-03,9:29:34 AM,1,1,Sapl0186,Sapl0012,12.0,163.03,6.0
203,2014-01-03,9:30:55 AM,1,1,Sapl0186,Sapl0015,12.0,780.12,6.0
204,2014-01-03,9:32:06 AM,1,1,Sapl0186,Sapl0042,12.0,213.77,6.0
205,2014-01-03,9:35:16 AM,1,1,Sapl0186,Sapl0038,12.0,217.42,6.0
206,2014-01-03,9:44:25 AM,1,1,Sapl0186,Sapl0173,12.0,140.45,6.0
207,2014-01-03,9:49:27 AM,1,1,Sapl0186,Sapl0172,12.0,402.25,6.0
208,2014-01-03,9:50:35 AM,1,1,Sapl0186,Sapl0009,12.0,364.5,6.0
209,2014-01-03,10:10:46 AM,1,1,Sapl0186,Sapl0013,12.0,786.97,6.0
210,2014-01-03,10:20:57 AM,1,1,Sapl0186,Sapl0053,12.0,140.45,6.0
211,2014-01-03,10:21:58 AM,1,1,Sapl0186,Sapl0028,12.0,292.25,6.0
212,2014-01-03,10:24:45 AM,1,1,Sapl0186,Sapl0056,12.0,232.14,6.0
213,2014-01-03,10:45:07 AM,1,1,Sapl0186,Sapl0161,12.0,417.42,6.0
214,2014-01-03,11:09:50 AM,1,1,Sapl0186,Sapl0040,12.0,455.51,6.0
215,2014-01-03,11:14:40 AM,1,1,Sapl0186,Sapl0073,12.0,655.51,6.0
216,2014-01-03,11:16:34 AM,1,1,Sapl0186,Sapl0082,12.0,181.24,6.0
217,2014-01-03,11:17:45 AM,1,1,Sapl0186,Sapl0076,12.0,1058.88,6.0
218,2014-01-03,11:19:27 AM,1,1,Sapl0186,Sapl0010,12.0,158.43,6.0
219,2014-01-03,11:23:27 AM,1,1,Sapl0186,Sapl0037,12.0,269.1,6.0
220,2014-01-03,12:00:04 PM,1,1,Sapl0186,Sapl0008,12.0,742.93,6.0
221,2014-01-03,12:01:55 PM,1,1,Sapl0186,Sapl0153,12.0,532.25,6.0
222,2014-01-03,12:02:44 PM,1,1,Sapl0186,Sapl0036,12.0,447.31,6.0
223,2014-01-03,12:13:06 PM,1,1,Sapl0186,Sapl0005,12.0,141.57,6.0
224,2014-01-03,12:14:08 PM,1,1,Sapl0186,Sapl0018,12.0,342.25,6.0
225,2014-01-03,12:16:06 PM,1,1,Sapl0186,Sapl0043,12.0,140.45,6.0
226,2014-01-03,12:17:56 PM,1,1,Sapl0186,Sapl0068,12.0,655.51,6.0
227,2014-01-03,12:20:49 PM,1,1,Sapl0186,Sapl0049,12.0,259.1,6.0
228,2014-01-03,12:22:35 PM,1,1,Sapl0186,Sapl0112,12.0,188.99,6.0
229,2014-01-03,12:23:18 PM,1,1,Sapl0186,Sapl0019,12.0,326.41,6.0
230,2014-01-03,12:24:39 PM,1,1,Sapl0186,Sapl0143,12.0,143.48,6.0
231,2014-01-03,12:26:17 PM,1,1,Sapl0186,Sapl0122,12.0,260.96,6.0
232,2014-01-03,12:26:57 PM,1,1,Sapl0186,Sapl0044,12.0,235.62,6.0
233,2014-01-03,12:28:49 PM,1,1,Sapl0186,Sapl0032,12.0,150.0,6.0
234,2014-01-03,12:29:44 PM,1,1,Sapl0186,Sapl0059,12.0,159.89,6.0
235,2014-01-03,12:30:44 PM,1,1,Sapl0186,Sapl0062,12.0,956.52,6.0
236,2014-01-03,4:39:49 PM,1,1,Sapl0186,Sapl0031,12.0,176.18,6.0
237,2014-01-03,4:54:55 PM,1,1,Sapl0186,Sapl0041,12.0,270.74,6.0
238,2014-01-08,5:41:30 PM,1,1,Sapl0186,Sapl0185,12.0,302.25,6.0
239,2014-01-08,5:43:41 PM,1,1,Sapl0186,Sapl0080,12.0,140.45,6.0
240,2014-01-08,5:44:49 PM,1,1,Sapl0186,Sapl0119,12.0,148.09,6.0
241,2014-01-08,5:48:52 PM,1,1,Sapl0186,Sapl0186,12.0,140.45,6.0
242,2014-01-27,5:55:11 PM,1,1,Sapl0186,Sapl0031,1.0,478.81,6.0
243,2014-01-28,6:39:57 PM,1,1,Sapl0186,Sapl0186,1.0,258.77,6.0
244,2014-01-28,6:42:32 PM,1,1,Sapl0186,Sapl0032,1.0,574.05,6.0
245,2014-01-28,6:43:24 PM,1,1,Sapl0186,Sapl0044,1.0,249.22,6.0
246,2014-01-28,6:44:28 PM,1,1,Sapl0186,Sapl0122,1.0,330.56,6.0
247,2014-01-28,6:46:28 PM,1,1,Sapl0186,Sapl0143,1.0,142.47,6.0
248,2014-01-28,6:47:12 PM,1,1,Sapl0186,Sapl0019,1.0,353.26,6.0
249,2014-01-28,6:50:17 PM,1,1,Sapl0186,Sapl0112,1.0,182.92,6.0
250,2014-01-28,6:51:17 PM,1,1,Sapl0186,Sapl0049,1.0,202.14,6.0
251,2014-01-28,6:52:48 PM,1,1,Sapl0186,Sapl0119,1.0,300.9,6.0
252,2014-01-28,6:53:42 PM,1,1,Sapl0186,Sapl0068,1.0,532.25,6.0
253,2014-01-28,6:55:49 PM,1,1,Sapl0186,Sapl0005,1.0,167.08,6.0
254,2014-01-28,6:57:07 PM,1,1,Sapl0186,Sapl0062,1.0,764.5,6.0
255,2014-01-28,6:58:19 PM,1,1,Sapl0186,Sapl0059,1.0,267.42,6.0
256,2014-01-28,7:09:44 PM,1,1,Sapl0186,Sapl0191,1.0,174.16,6.0
257,2014-01-28,7:12:16 PM,1,1,Sapl0186,Sapl0003,1.0,1114.44,6.0
258,2014-01-28,7:13:10 PM,1,1,Sapl0186,Sapl0002,1.0,218.54,6.0
259,2014-01-28,7:14:11 PM,1,1,Sapl0186,Sapl0038,1.0,239.21,6.0
260,2014-01-29,12:59:05 PM,1,1,Sapl0186,Sapl0042,1.0,140.45,6.0
261,2014-01-29,12:59:52 PM,1,1,Sapl0186,Sapl0015,1.0,803.26,6.0
262,2014-01-29,1:00:32 PM,1,1,Sapl0186,Sapl0012,1.0,183.26,6.0
263,2014-01-29,1:01:34 PM,1,1,Sapl0186,Sapl0185,1.0,1019.11,6.0
264,2014-01-29,3:45:51 PM,1,1,Sapl0186,Sapl0011,1.0,896.3,6.0
265,2014-01-29,3:46:52 PM,1,1,Sapl0186,Sapl0173,1.0,141.46,6.0
266,2014-01-29,3:52:52 PM,1,1,Sapl0186,Sapl0020,1.0,508.32,6.0
267,2014-01-29,3:54:26 PM,1,1,Sapl0186,Sapl0050,1.0,140.45,6.0
268,2014-01-29,3:55:39 PM,1,1,Sapl0186,Sapl0055,1.0,634.9,6.0
269,2014-01-29,3:58:20 PM,1,1,Sapl0186,Sapl0047,1.0,141.91,6.0
270,2014-01-29,4:00:27 PM,1,1,Sapl0186,Sapl0048,1.0,174.16,6.0
271,2014-01-29,4:01:52 PM,1,1,Sapl0186,Sapl0057,1.0,480.56,6.0
272,2014-01-29,4:43:21 PM,1,1,Sapl0186,Sapl0082,1.0,173.48,6.0
273,2014-01-29,4:44:08 PM,1,1,Sapl0186,Sapl0073,1.0,460.0,6.0
274,2014-01-29,4:44:58 PM,1,1,Sapl0186,Sapl0080,1.0,264.95,6.0
275,2014-01-29,4:46:02 PM,1,1,Sapl0186,Sapl0040,1.0,495.96,6.0
276,2014-01-29,5:08:43 PM,1,1,Sapl0186,Sapl0043,1.0,156.86,6.0
277,2014-01-29,5:11:45 PM,1,1,Sapl0186,Sapl0161,1.0,399.9,6.0
278,2014-01-29,5:13:50 PM,1,1,Sapl0186,Sapl0056,1.0,231.57,6.0
279,2014-01-29,5:14:42 PM,1,1,Sapl0186,Sapl0028,1.0,326.74,6.0
280,2014-01-29,5:26:22 PM,1,1,Sapl0186,Sapl0053,1.0,140.45,6.0
281,2014-01-29,5:27:16 PM,1,1,Sapl0186,Sapl0013,1.0,446.52,6.0
282,2014-01-29,5:28:11 PM,1,1,Sapl0186,Sapl0009,1.0,355.17,6.0
283,2014-01-29,5:29:32 PM,1,1,Sapl0186,Sapl0172,1.0,312.02,6.0
284,2014-01-29,5:30:34 PM,1,1,Sapl0186,Sapl0008,1.0,655.28,6.0
285,2014-01-29,6:04:07 PM,1,1,Sapl0186,Sapl0037,1.0,207.3,6.0
286,2014-01-29,6:04:57 PM,1,1,Sapl0186,Sapl0010,1.0,454.05,6.0
287,2014-01-29,6:05:54 PM,1,1,Sapl0186,Sapl0076,1.0,1582.93,6.0
288,2014-01-29,6:13:54 PM,1,1,Sapl0186,Sapl0153,1.0,685.17,6.0
289,2014-01-29,6:14:26 PM,1,1,Sapl0186,Sapl0036,1.0,347.31,6.0
290,2014-01-29,6:15:36 PM,1,1,Sapl0186,Sapl0018,1.0,274.83,6.0
